timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1526976406241,416,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-country,200,OK,Thread Group 1-9,text,true,,21529,0,2,2,318,0,0
1526976406644,383,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-chant-acapella,200,OK,Thread Group 1-10,text,true,,22477,0,2,2,294,0,0
1526976406658,523,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/dj,200,OK,Thread Group 1-9,text,true,,39331,0,2,2,333,0,0
1526976407027,481,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique,200,OK,Thread Group 1-10,text,true,,36476,0,2,2,305,0,0
1526976407182,395,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-hip-hop,200,OK,Thread Group 1-9,text,true,,21534,0,2,2,306,0,0
1526976407509,450,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-swing,200,OK,Thread Group 1-10,text,true,,23950,0,1,1,347,0,0
1526976407959,413,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-blues,200,OK,Thread Group 1-10,text,true,,21544,0,1,1,318,0,0
1526976408373,382,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-fanfare,200,OK,Thread Group 1-10,text,true,,23909,0,1,1,294,0,0
1526976408756,412,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique-chretienne,200,OK,Thread Group 1-10,text,true,,24449,0,1,1,314,0,0
1526976409168,397,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-country,200,OK,Thread Group 1-10,text,true,,21529,0,1,1,309,0,0
1526976409565,542,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/dj,200,OK,Thread Group 1-10,text,true,,39331,0,1,1,449,0,0
1526976410107,427,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-hip-hop,200,OK,Thread Group 1-10,text,true,,21534,0,1,1,339,0,0
